ass.name,study,biome,latitude,longitude,abs_latitude,median_betaMPD,median_betaSESMPD,median_betaMNTD,median_betaSR,median_betaJacc,median_betaPhyloSor,median_betaCTI,SST_mean,betaSST_lm
210_544507,210,Temperate_Northern_Atlantic,58.04851774,0.21804266,58.04851774,8.22E-06,-0.000598813,0.007625172,0.007706496,0.002292642,0.010538806,0.02249191,9.892386882,0.755110868
210_544522,210,Temperate_Northern_Atlantic,57.83131335,2.55075793,57.83131335,-0.001654982,-0.001702162,0.007547248,0.010507118,0.023255385,0.017638632,0.0173586,9.55740468,0.319558005
210_544523,210,Temperate_Northern_Atlantic,57.81533049,2.704705815,57.81533049,0.001905013,0.00221686,0.010774517,0.011848127,0.027349039,0.020954499,0.038416059,9.951182726,0.652572648
210_544524,210,Temperate_Northern_Atlantic,57.79916284,2.858449486,57.79916284,-0.001274539,-0.003231216,0.0008926,0.004461118,0.014105383,0.025025624,0.022650594,9.789309438,0.476908578
210_544528,210,Temperate_Northern_Atlantic,57.73265514,3.47135384,57.73265514,-0.001307913,-0.003550075,0.004006628,0.006189521,0.009523822,0.019919752,0.0118816,9.726761882,0.32375138
210_544531,210,Temperate_Northern_Atlantic,57.68086094,3.928819686,57.68086094,0.001824717,0.00289735,0.010905906,0.008935368,0.012100229,0.018229431,0.028783019,9.817194734,1.068669294
210_544532,210,Temperate_Northern_Atlantic,57.66323473,4.080879712,57.66323473,0.000868975,0.001297655,0.008986335,0.005758406,0.019188686,0.015727078,0.024155086,10.03815546,0.536538632
210_544533,210,Temperate_Northern_Atlantic,57.64542872,4.232723254,57.64542872,0.001339538,0.002373193,0.008357189,0.007456184,0.034477688,0.035333603,0.014380062,9.90090332,0.603272088
210_545215,210,Temperate_Northern_Atlantic,58.19263586,-3.213340217,58.19263586,0.000942082,0.001530358,0.006560248,0.002099434,0.028003003,0.018828021,0.017951917,9.566446693,0.430549629
210_545216,210,Temperate_Northern_Atlantic,58.18373802,-3.05352505,58.18373802,0.000892784,0.002177592,0.008140859,0.007789076,0.010565439,0.01459767,0.021686815,9.447977372,0.361508181
210_545228,210,Temperate_Northern_Atlantic,58.06134166,-1.147448338,58.06134166,0.001739132,0.003315599,0.016751163,0.015041824,0.012180569,0.025372243,0.068600368,9.650794813,0.453375384
210_545240,210,Temperate_Northern_Atlantic,57.9106464,0.734881569,57.9106464,0.001638405,0.005295286,0.008164167,0.005117748,0.022786399,0.024275176,0.007352321,10.04848705,0.510677096
210_545244,210,Temperate_Northern_Atlantic,57.85426904,1.35654289,57.85426904,0.000589823,0.000626951,0.005343228,0.009004074,0.011385086,0.022379483,0.046249151,10.02493354,0.564312379
210_545245,210,Temperate_Northern_Atlantic,57.83970171,1.511483885,57.83970171,-0.000503764,0.000452285,0.008458366,0.002743072,0.027622082,0.017411591,0.026337401,10.14056007,0.413565015
210_545252,210,Temperate_Northern_Atlantic,57.73249154,2.590588548,57.73249154,0.001843937,0.002520152,0.006511257,0.001194106,0.019525574,-0.000622336,0.000159974,9.703044298,0.407696136
210_545258,210,Temperate_Northern_Atlantic,57.63339772,3.5076348,57.63339772,9.99E-05,-0.000550976,0.006228612,0.008509687,0.020962584,0.009723919,0.033162433,9.869974632,0.456493559
210_545259,210,Temperate_Northern_Atlantic,57.61624491,3.65974393,57.61624491,-0.000472945,-0.001425158,0.013553214,0.006556047,0.02014585,0.024169426,0.033178201,9.685052229,0.354510557
210_545262,210,Temperate_Northern_Atlantic,57.56370534,4.114789793,57.56370534,0.001498064,0.001888713,0.010641534,0.012476026,0.012468696,0.022256867,0.029558543,9.654431581,0.633823344
210_545944,210,Temperate_Northern_Atlantic,58.10591414,-3.311919336,58.10591414,0.001199291,0.001438028,0.011984998,0.01260462,0.010307777,0.021845656,0.037132586,9.377461299,1.464944507
210_545945,210,Temperate_Northern_Atlantic,58.09711051,-3.152526626,58.09711051,-0.000915296,-0.001716923,0.008558476,0.004717947,0.015203853,0.019812791,0.028965897,9.538953218,0.567543469
210_545950,210,Temperate_Northern_Atlantic,58.05007916,-2.357737256,58.05007916,0.00129052,0.002880913,0.011996211,0.013338764,0.007512009,0.01919465,0.034347713,9.29257609,-0.130012681
210_545955,210,Temperate_Northern_Atlantic,57.99806524,-1.566739702,57.99806524,0.000981963,0.001519912,0.005869619,0.008421627,0.016694633,0.013905737,0.02621025,9.408645833,0.489412482
210_545957,210,Temperate_Northern_Atlantic,57.97587697,-1.251452705,57.97587697,-0.000963138,-0.003771535,0.01093741,0.007846284,0.021542944,0.016945166,0.027997334,9.866656785,0.588451255
210_545958,210,Temperate_Northern_Atlantic,57.96448837,-1.09405453,57.96448837,0.001397388,0.001965392,0.015391987,0.011155046,0.015322578,0.023969755,0.050694879,9.865241699,0.451127194
210_545960,210,Temperate_Northern_Atlantic,57.94112455,-0.779757467,57.94112455,0.001247587,0.002358096,0.000867564,0.008813621,0.008535196,0.024002828,0.045073456,9.715880896,0.400333199
210_545962,210,Temperate_Northern_Atlantic,57.91698173,-0.466137492,57.91698173,0.001093641,0.001132027,0.012471923,0.012158236,0.001922747,0.008966544,0.054250448,9.42451884,-0.06043861
210_545963,210,Temperate_Northern_Atlantic,57.90461938,-0.30958563,57.90461938,-0.000697779,-0.003490747,0.01250452,0.008948493,0.04194585,0.012945932,0.045643734,10.09464925,0.573178133
210_545967,210,Temperate_Northern_Atlantic,57.85324177,0.314862283,57.85324177,0.002494798,0.004346737,0.013074139,0.004466522,0.024073873,0.01242746,0.017755691,9.980652534,0.652596444
210_545974,210,Temperate_Northern_Atlantic,57.75598375,1.400623525,57.75598375,0.002509176,0.003917581,0.011475483,0.011645526,-0.013340619,0.011791975,0.032533301,9.552148438,0.543592197
210_545975,210,Temperate_Northern_Atlantic,57.74133453,1.554977532,57.74133453,0.004956701,0.006391796,0.015882163,0.011541762,0.003689764,0.019378996,0.028558155,9.738630587,0.323207565
210_545979,210,Temperate_Northern_Atlantic,57.68087039,2.170446043,57.68087039,0.000656212,0.000308555,0.004689036,0.010362973,0.012380818,0.03327085,0.04679646,9.874315845,0.506647842
210_545980,210,Temperate_Northern_Atlantic,57.66529019,2.323818931,57.66529019,0.000357415,-0.000102401,0.008831405,0.00532897,-0.00526672,-0.004384955,0.014430608,9.441107686,0.184911798
210_545981,210,Temperate_Northern_Atlantic,57.6495254,2.476991227,57.6495254,0.001972146,0.002636667,0.012195868,0.010844905,0.01369916,0.027564987,0.027900774,9.805818176,0.72080233
210_545985,210,Temperate_Northern_Atlantic,57.58463111,3.08764622,57.58463111,0.001004646,0.001575636,0.00955239,0.00921606,0.011315089,0.002512148,0.015233689,9.842568149,0.463917334
210_545991,210,Temperate_Northern_Atlantic,57.48184482,3.997375245,57.48184482,0.001499654,0.00150056,0.009369487,0.009031859,0.014011944,0.018232198,0.021513403,9.802191388,1.176272169
210_546002,210,Temperate_Northern_Atlantic,57.27680222,5.644874779,57.27680222,0.002058503,0.002294189,0.008338261,0.009444268,0.021417815,0.018556242,0.017918037,9.568523492,0.236757303
210_546003,210,Temperate_Northern_Atlantic,57.25711741,5.79329863,57.25711741,-8.84E-05,-0.00020486,0.010804894,0.003633901,0.00935568,0.019888537,0.014609332,9.516440217,0.633234473
210_546005,210,Temperate_Northern_Atlantic,57.22687361,6.132750645,57.22687361,0.00077378,0.000750492,0.008353273,0.010762765,0.028607493,0.037014766,0.044810995,10.12355067,1.016653713
210_546006,210,Temperate_Northern_Atlantic,57.21620986,6.323844241,57.21620986,0.006802803,0.009327444,0.010889892,0.006628131,0.018027971,0.007684719,0.00372516,9.857671734,0.376703706
210_546009,210,Temperate_Northern_Atlantic,57.18257009,6.896129032,57.18257009,-0.001129411,-0.00319097,0.001631364,0.011511514,0.011857992,0.02515479,0.007345724,9.837104402,0.254565156
210_546010,210,Temperate_Northern_Atlantic,57.17081035,7.086555309,57.17081035,0.001209748,0.004611964,0.011134694,0.004103062,0.009977687,0.012019402,0.018480311,9.838916108,0.268865885
210_546011,210,Temperate_Northern_Atlantic,57.15877887,7.276812258,57.15877887,-0.000401324,-0.001084487,0.00811407,0.008704064,0.005325701,0.010689763,0.019530082,9.871751767,0.482327062
210_54663,210,Temperate_Northern_Atlantic,61.03000253,-1.399207232,61.03000253,0.002979057,0.005810969,0.01311001,0.013438207,0.018726748,0.017013503,0.056272792,9.590805005,0.245949926
210_54664,210,Temperate_Northern_Atlantic,60.93383553,-1.333597795,60.93383553,0.002450881,0.006392458,0.009346535,0.004865949,0.028893512,0.018743519,0.050933945,9.853050355,0.43554136
210_546677,210,Temperate_Northern_Atlantic,57.98305595,-2.77497336,57.98305595,0.00226451,0.005500689,0.013169652,0.010773138,0.003486722,0.001971384,0.048478815,9.707679318,0.522012142
210_546680,210,Temperate_Northern_Atlantic,57.9539225,-2.30024213,57.9539225,0.001114301,0.00133328,0.012103601,0.010666376,0.010398469,0.015180493,0.028119116,9.285791016,-0.119094796
210_546687,210,Temperate_Northern_Atlantic,57.87901923,-1.197961513,57.87901923,0.001705038,0.004180128,0.01625536,0.009047235,0.025405672,0.025822947,0.053409333,9.902884286,0.654980811
210_546689,210,Temperate_Northern_Atlantic,57.8558538,-0.884482661,57.8558538,0.000738689,0.000815442,0.010098594,0.012450038,-0.000632362,0.004269561,0.045350098,9.713361877,0.50997884
210_546691,210,Temperate_Northern_Atlantic,57.83191096,-0.571677192,57.83191096,0.000842007,0.001579447,0.007431282,0.007650573,0.025813933,0.008044171,0.061044951,9.710493442,0.288048735
210_546692,210,Temperate_Northern_Atlantic,57.81964921,-0.415531174,57.81964921,0.00116441,0.002108482,0.011029182,0.005204167,-0.003048688,0.003636242,0.023626714,9.88608631,1.10769202
